,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
27,1000104688,Permaculture Skills,Webseries,Film & Video,CAD,12/14/2014,17757.0,11/14/2014 18:02,48905.0,successful,571,CA,43203.25,42174.03,15313.04
29,100011318,My Moon - Animated Short Film,Animation,Film & Video,USD,5/3/2017,50000.0,4/3/2017 17:11,57577.31,successful,840,US,10120.0,57577.31,50000.0
37,1000132945,Zen in America: a film on Zen Buddhism in North America,Documentary,Film & Video,USD,10/21/2013,10000.0,9/21/2013 23:00,15663.0,successful,213,US,15663.0,15663.0,10000.0
47,1000184224,Star and the Snowman,Narrative Film,Film & Video,USD,2/23/2013,8000.0,1/24/2013 6:04,9401.0,successful,154,US,9401.0,9401.0,8000.0
50,1000201265,I'LL SEE YOU IN MY DREAMS - narrative feature film,Narrative Film,Film & Video,USD,2/5/2014,60000.0,1/11/2014 0:57,61365.16,successful,632,US,61365.16,61365.16,60000.0
54,1000216800,Mothers Into Living Fit Yoga DVD for Moms and Babies,Family,Film & Video,USD,6/19/2014,11000.0,5/20/2014 17:18,11055.0,successful,51,US,11055.0,11055.0,11000.0
57,1000227361,UNDERWATER,Film & Video,Film & Video,USD,3/26/2012,9500.0,2/13/2012 19:00,9660.0,successful,121,US,9660.0,9660.0,9500.0
82,1000332383,Road to the Shire,Documentary,Film & Video,USD,2/14/2012,4000.0,1/11/2012 20:13,4045.0,successful,29,US,4045.0,4045.0,4000.0
95,1000386601,Los Angeles International Student Film Festival,Film & Video,Film & Video,USD,4/3/2014,1500.0,3/4/2014 17:24,1932.99,successful,29,US,1932.99,1932.99,1500.0
96,1000389241,Bob Contemplates Ending It All,Shorts,Film & Video,USD,1/27/2014,3000.0,12/18/2013 20:54,3755.0,successful,52,US,3755.0,3755.0,3000.0
97,1000392220,The Girls Bathroom,Webseries,Film & Video,USD,7/31/2011,2000.0,7/6/2011 16:35,2252.99,successful,45,US,2252.99,2252.99,2000.0
100,1000405957,Just Another Reality Show: Season 3,Webseries,Film & Video,USD,5/11/2014,500.0,4/10/2014 23:04,756.0,successful,8,US,756.0,756.0,500.0
131,1000545028,Trackside - Independent documentary featuring Marshals,Documentary,Film & Video,GBP,3/2/2014,5000.0,1/24/2014 12:49,5037.0,successful,47,GB,8345.98,8447.09,8385.04
141,10005784,DOGMA - Short Film,Drama,Film & Video,GBP,3/20/2015,750.0,3/6/2015 15:13,756.0,successful,15,GB,1153.31,1122.89,1113.98
178,1000741180,High Stakes: A Short Film,Shorts,Film & Video,USD,11/3/2013,5000.0,10/9/2013 21:55,5120.0,successful,81,US,5120.0,5120.0,5000.0
190,1000781512,Knock Down Drag Out,Shorts,Film & Video,USD,1/10/2012,800.0,12/9/2011 0:23,850.0,successful,19,US,850.0,850.0,800.0
240,1001048123,Paterson Falls Film Festival,Film & Video,Film & Video,USD,5/3/2013,1500.0,4/3/2013 3:09,1612.0,successful,27,US,1612.0,1612.0,1500.0
245,1001086968,Nurse Mare Foals: Born to Die,Documentary,Film & Video,USD,1/6/2015,20000.0,12/7/2014 19:45,22421.0,successful,383,US,22421.0,22421.0,20000.0
246,1001087429,The Bird Nerd,Comedy,Film & Video,GBP,7/3/2014,400.0,6/3/2014 16:00,1065.0,successful,36,GB,1783.51,1825.79,685.74
248,1001093391,The Great Kentucky Goblin Spree,Film & Video,Film & Video,USD,3/21/2014,5500.0,2/19/2014 21:04,6614.0,successful,88,US,6614.0,6614.0,5500.0
279,1001243867,Lego Batman: Zombie Genesis Series,Animation,Film & Video,GBP,6/4/2013,125.0,5/14/2013 10:17,242.0,successful,19,GB,371.54,376.94,194.7
280,1001244864,Digitizing My Family,Family,Film & Video,USD,12/6/2014,3500.0,11/5/2014 15:50,3585.0,successful,43,US,3585.0,3585.0,3500.0
296,1001328623,Belleflower - A Feature Film,Narrative Film,Film & Video,USD,5/28/2014,2500.0,5/7/2014 23:32,3863.37,successful,42,US,3863.37,3863.37,2500.0
299,1001338443,Lei,Film & Video,Film & Video,GBP,4/17/2016,370.0,3/24/2016 18:44,495.0,successful,17,GB,703.2,711.71,531.98
329,1001498884,Peripheral vision - short film,Shorts,Film & Video,AUD,6/2/2015,250.0,5/8/2015 10:16,842.0,successful,17,AU,671.75,649.89,192.96
337,1001527526,STAGNANT POOL enters post-production,Shorts,Film & Video,CAD,12/25/2013,7500.0,11/25/2013 20:31,8422.0,successful,96,CA,8008.11,7897.6,7033.01
348,1001570537,WHAT CHILDREN DO - A Feature Length Comedy,Comedy,Film & Video,USD,3/25/2016,15000.0,2/23/2016 20:40,15040.33,successful,192,US,15040.33,15040.33,15000.0
