,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
5,1000014025,Monarch Espresso Bar,Restaurants,Food,USD,4/1/2016,50000.0,2/26/2016 13:38,52375.0,successful,224,US,52375.0,52375.0,50000.0
6,1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,12/21/2014,1000.0,12/1/2014 18:30,1205.0,successful,16,US,1205.0,1205.0,1000.0
46,1000183112,Hot Chicken Takes Over.,Restaurants,Food,USD,10/16/2014,40000.0,9/16/2014 2:31,63401.0,successful,855,US,63401.0,63401.0,40000.0
63,1000235643,HIIT Bottle™,Drinks,Food,USD,4/27/2015,15000.0,3/13/2015 18:33,124998.0,successful,2784,US,124998.0,124998.0,15000.0
105,1000428719,"""Eat Like A Gilmore"" Cookbook",Cookbooks,Food,USD,4/17/2016,20000.0,3/14/2016 12:39,47273.0,successful,1261,US,47273.0,47273.0,20000.0
226,1000988864,"Alaska Bug Bites, LLC - Farmers Markets Launch",Vegan,Food,USD,4/1/2017,2000.0,2/22/2017 18:32,2164.77,successful,52,US,525.0,2164.77,2000.0
230,100101389,"Uptown Juice Company: Local, cold-pressed goodness",Food,Food,USD,4/1/2014,25000.0,2/25/2014 0:15,30066.0,successful,161,US,30066.0,30066.0,25000.0
316,1001432466,The Great Fly Cup Bake Off,Events,Food,GBP,9/8/2015,250.0,8/9/2015 20:29,340.0,successful,17,GB,526.83,524.38,385.58
325,1001484182,Daweyu Hills – Crop to Cup,Drinks,Food,USD,10/15/2015,25000.0,9/15/2015 21:01,25816.0,successful,172,US,25816.0,25816.0,25000.0
341,1001543887,Peak View Brewing Company,Drinks,Food,USD,10/10/2016,15000.0,9/10/2016 14:25,15018.0,successful,145,US,1015.0,15018.0,15000.0
378,1001762923,Spicing it Up at Whipped & Beaten Culinary Works,Food,Food,USD,3/21/2013,2500.0,2/19/2013 16:02,3712.0,successful,125,US,3712.0,3712.0,2500.0
424,1002027893,Flyover Farm,Food,Food,USD,5/7/2012,5500.0,4/16/2012 8:36,6510.0,successful,133,US,6510.0,6510.0,5500.0
441,1002117681,"Yemanja Caribbean Restaurant, Bar, and Hostel",Food,Food,USD,9/21/2012,15000.0,8/22/2012 18:29,16656.0,successful,160,US,16656.0,16656.0,15000.0
507,1002444966,Agrandissement de la brasserie,Drinks,Food,CHF,4/8/2016,2300.0,3/9/2016 21:23,3837.0,successful,32,CH,3858.26,4009.53,2403.42
557,1002715554,a restaurant going against the grain in colchester essex,Restaurants,Food,GBP,6/6/2016,10000.0,5/7/2016 13:09,11290.0,successful,167,GB,16355.07,16261.68,14403.62
597,1002884058,Top Chefs Opening Shakewell Bar & Kitchen!,Food,Food,USD,8/22/2013,100000.0,7/23/2013 18:18,102937.0,successful,443,US,102937.0,102937.0,100000.0
624,1002985353,Bona Dea Gluten Free Goodness,Food,Food,USD,2/1/2012,8000.0,12/22/2011 18:43,8540.0,successful,107,US,8540.0,8540.0,8000.0
708,1003478705,The Wheelhouse: A Farm to Table Restaurant in St Joseph IL,Restaurants,Food,USD,9/15/2016,10000.0,8/16/2016 16:57,10205.0,successful,43,US,4435.0,10205.0,10000.0
732,1003533888,Cat Cafe Mad: Coffee Shop Remodel & Expansion & Real Food,Spaces,Food,USD,6/19/2017,9500.0,5/19/2017 7:37,10752.0,successful,285,US,0.0,10752.0,9500.0
781,1003804552,Maltese Brewing Company,Drinks,Food,USD,3/1/2015,10000.0,1/30/2015 2:23,10164.0,successful,53,US,10164.0,10164.0,10000.0
936,1004687584,Bringing Patrizi's Back: A family food truck experience,Food,Food,USD,3/2/2013,30000.0,1/25/2013 18:06,40062.0,successful,117,US,40062.0,40062.0,30000.0
954,1004814701,The Secret Tomato Project,Farms,Food,USD,8/6/2015,1000.0,7/30/2015 1:13,1531.0,successful,42,US,1531.0,1531.0,1000.0
1030,100520530,Finish El Toro The Tot Food Trailer!!,Food,Food,USD,4/28/2013,28000.0,3/29/2013 6:37,28036.0,successful,75,US,28036.0,28036.0,28000.0
1123,1005701123,A pot of coffee,Drinks,Food,USD,8/9/2014,10.0,7/10/2014 17:01,11.0,successful,2,US,11.0,11.0,10.0
1204,100609913,"Martin Persil, la cantine vegan à roulettes !",Vegan,Food,EUR,2/15/2016,7500.0,1/11/2016 18:30,9172.0,successful,193,FR,10019.67,10177.2,8321.96
1228,1006213538,Yakana,Drinks,Food,MXN,5/16/2017,100000.0,4/6/2017 16:59,103035.08,successful,87,MX,0.0,5501.07,5339.03
1273,10064783,WarmUp: A High-Protein Coffee,Drinks,Food,USD,12/14/2016,8000.0,11/14/2016 18:55,8599.0,successful,200,US,932.0,8599.0,8000.0
1378,100705658,Coffee With A Purpose,Drinks,Food,USD,12/9/2015,14500.0,11/9/2015 22:22,15130.0,successful,65,US,15130.0,15130.0,14500.0
1523,1007791691,"Silver Pickle, a food trailer",Food Trucks,Food,USD,6/11/2015,3000.0,5/21/2015 15:13,3326.0,successful,55,US,3326.0,3326.0,3000.0
1607,1008244182,Scoop Sights Dairy-Free Ice Cream in stores near you!,Vegan,Food,USD,12/9/2015,12000.0,11/9/2015 18:00,13095.0,successful,182,US,13095.0,13095.0,12000.0
1646,1008452863,"Nomsly - Fresh, Healthy Kids Lunches, Delivered To Your Door",Food,Food,USD,12/1/2017,30000.0,10/31/2017 15:11,30977.0,successful,114,US,2196.0,30977.0,30000.0
1651,1008468553,Good Food Truck,Food,Food,USD,8/5/2010,4200.0,6/22/2010 3:53,4410.0,successful,76,US,4410.0,4410.0,4200.0
1727,1008869084,The Cheeseletes: Transforming the Mold of Education,Events,Food,USD,3/12/2017,7000.0,1/11/2017 18:00,8046.0,successful,86,US,0.0,8046.0,7000.0
1728,1008873636,Renny's Oki Doki Okinawan Food Truck Launch,Food,Food,USD,5/20/2012,4500.0,5/3/2012 3:38,10232.0,successful,110,US,10232.0,10232.0,4500.0
1742,1008933869,A Gluten-Free For All,Food Trucks,Food,USD,5/1/2014,4000.0,4/1/2014 17:44,4665.0,successful,107,US,4665.0,4665.0,4000.0
1760,1009032827,San Diego Public Market: It's Time!,Food,Food,USD,8/24/2012,92244.0,8/8/2012 19:41,146121.81,successful,1379,US,146121.81,146121.81,92244.0
1800,1009216009,Mana Cookies...the stuff magic is made of!,Food,Food,USD,5/22/2013,3300.0,4/22/2013 4:37,5185.0,successful,71,US,5185.0,5185.0,3300.0
1826,1009358886,Cookie Bake Sale for College Classes!,Small Batch,Food,USD,7/25/2017,600.0,6/25/2017 2:18,631.0,successful,14,US,67.0,631.0,600.0
1833,1009384630,Let's launch a Pink Crush cakery stand!,Food,Food,USD,10/29/2010,545.0,9/16/2010 7:12,641.0,successful,28,US,641.0,641.0,545.0
2014,101052958,Shelter Arcade Bar,Drinks,Food,USD,1/9/2016,25000.0,12/10/2015 15:19,25264.0,successful,147,US,25264.0,25264.0,25000.0
2032,1010603558,Råvarene – Your Zero Waste Grocery Store,Food,Food,NOK,5/4/2016,210000.0,4/12/2016 18:46,230133.0,successful,330,NO,27970.43,28121.59,25661.39
2036,1010635539,ABV - A Beer Voyage,Drinks,Food,USD,8/13/2015,5000.0,7/14/2015 16:46,5312.0,successful,77,US,5312.0,5312.0,5000.0
2085,101088356,Fund my Sweet Potato Donut Stand in Vernonia Oregon,Small Batch,Food,USD,8/8/2015,400.0,7/9/2015 0:45,515.0,successful,14,US,515.0,515.0,400.0
2119,1011078798,Share the food truck love and get A Moveable Feast moving!,Food,Food,USD,3/22/2014,5000.0,2/20/2014 19:31,7052.38,successful,52,US,7052.38,7052.38,5000.0
2150,1011248931,The 8x8 Cookbook--Square Meals for Weeknight Dinner,Cookbooks,Food,USD,10/30/2015,20000.0,9/30/2015 17:35,21388.0,successful,404,US,21388.0,21388.0,20000.0
2197,1011485219,Delectable Delights By Tara,Food,Food,AUD,9/25/2016,10.0,8/26/2016 13:06,50.0,successful,4,AU,15.25,38.07,7.61
2209,1011554703,Free Range Chicken Coop for Rural Andean Farm. #VamosChicken,Farms,Food,GBP,10/14/2014,600.0,8/19/2014 20:06,608.0,successful,15,GB,1017.04,980.06,967.16
2225,1011613838,"Edgemere Farm in Rockaway Beach, Needs Your Help!",Farmer's Markets,Food,USD,4/9/2017,6000.0,3/10/2017 20:39,8821.77,successful,97,US,1735.0,8821.77,6000.0
2332,1012078896,"Wicked Boxer Brewing | First Brewery in Cypress, TX",Drinks,Food,USD,9/6/2017,10000.0,8/7/2017 4:37,10200.0,successful,79,US,323.0,10200.0,10000.0
2342,1012164396,Departed Soles: Brewing Classic & Gluten Free beer in NJ!,Drinks,Food,USD,5/29/2015,17500.0,4/29/2015 14:50,20987.0,successful,192,US,20987.0,20987.0,17500.0
2357,1012243555,90 Days-The Life of a Plant,Food,Food,USD,5/11/2013,2500.0,4/11/2013 20:50,2910.0,successful,39,US,2910.0,2910.0,2500.0
2466,1012775577,Henderson Brewing - Beer Meet Keg,Drinks,Food,CAD,12/31/2015,55000.0,11/2/2015 22:32,55813.0,successful,188,CA,42668.7,40199.51,39613.94
2605,1013385948,Seraphina Bistro,Restaurants,Food,USD,8/27/2015,1000.0,7/28/2015 18:37,1085.0,successful,12,US,1085.0,1085.0,1000.0
2706,1013923047,Spread the Spore! Fixing our Lab and Making a Workshop Space,Food,Food,USD,12/15/2016,25000.0,11/15/2016 22:12,25130.0,successful,130,US,276.0,25130.0,25000.0
2835,1014708315,CREME DE LA CREME the artisan jam born at the Farmers Market,Food,Food,USD,9/6/2016,5000.0,8/2/2016 4:24,5209.0,successful,33,US,1410.0,5209.0,5000.0
2845,1014767016,"Pasta Flyer:Traditional Italian,Japanese Style(Gluten Free!)",Restaurants,Food,USD,7/5/2014,85000.0,6/10/2014 16:02,89300.22,successful,450,US,89300.22,89300.22,85000.0
3001,1015516319,SAVE. THE. BEES.,Farms,Food,USD,9/12/2014,3000.0,8/13/2014 15:20,3408.5,successful,127,US,3408.5,3408.5,3000.0
3062,1015804125,Dirty Diaper Ale,Drinks,Food,USD,8/25/2014,60.0,8/4/2014 18:14,215.0,successful,11,US,215.0,215.0,60.0
3096,1015963105,Colorocko Taco,Food Trucks,Food,USD,4/22/2017,5000.0,3/23/2017 19:36,5580.0,successful,44,US,1630.0,5580.0,5000.0
3126,1016137891,Butcher's Guild Conference,Events,Food,USD,9/19/2014,750.0,8/26/2014 3:24,1000.0,successful,23,US,1000.0,1000.0,750.0
3282,1016942335,Culinary Mushroom Project,Small Batch,Food,USD,8/9/2014,500.0,7/10/2014 21:58,500.0,successful,11,US,500.0,500.0,500.0
3348,1017297465,Our Dream come true: Marasco's Candies,Food,Food,USD,2/1/2015,5000.0,1/4/2015 20:17,5083.0,successful,68,US,5083.0,5083.0,5000.0
3380,1017448246,First Place Coffee,Food Trucks,Food,USD,9/30/2017,26000.0,8/31/2017 2:40,27643.66,successful,195,US,3513.66,27643.66,26000.0
3397,1017509045,Reason To Bake Gluten Free Cookies,Small Batch,Food,USD,10/14/2016,20000.0,9/14/2016 22:27,20772.0,successful,127,US,655.0,20772.0,20000.0
3406,10175303,Lunchbar with cocktailworkshops and tastings,Drinks,Food,EUR,1/5/2015,3500.0,12/11/2014 11:45,3500.0,successful,4,NL,4331.96,4134.53,4134.53
3441,1017686466,House Kombucha: Bringin' It Fresh to YOU!,Food,Food,USD,10/27/2013,10000.0,8/28/2013 19:46,10076.0,successful,142,US,10076.0,10076.0,10000.0
3520,1018111765,The Chocolate Lab - Hand-Crafted Southern Artisan Candy Bars,Food,Food,USD,10/17/2012,9750.0,9/14/2012 16:45,9838.0,successful,98,US,9838.0,9838.0,9750.0
3575,1018495520,"""Not Just Plain..."" Vanilla Extracts & Foodstuffs Startup",Small Batch,Food,USD,7/12/2014,3500.0,6/7/2014 6:00,3712.0,successful,134,US,3712.0,3712.0,3500.0
3616,1018686464,Sunday Morning Pancake Mix,Food,Food,USD,6/1/2013,5000.0,5/9/2013 4:48,6475.0,successful,162,US,6475.0,6475.0,5000.0
3793,1019525713,Bring healthy and convenient pre-prepped meals to Williston!,Food,Food,USD,11/6/2017,12000.0,10/7/2017 23:24,12000.0,successful,11,US,50.0,12000.0,12000.0
3845,1019760396,Cajun Crate | Louisiana Monthly Subscription Box,Food,Food,USD,6/18/2016,20000.0,5/4/2016 0:00,21014.0,successful,248,US,21014.0,21014.0,20000.0
3862,101985258,Bruehol Brewing Taproom & Swag,Drinks,Food,USD,1/5/2017,2000.0,12/6/2016 23:12,2335.0,successful,23,US,0.0,2335.0,2000.0
3892,1020053719,Bring Cosmic Creamery's Amazing Ice Cream to You!,Food,Food,USD,3/4/2013,7500.0,2/2/2013 4:29,7717.0,successful,119,US,7717.0,7717.0,7500.0
3997,1020566495,Hott Buns Baozi,Food,Food,USD,10/6/2011,600.0,9/26/2011 3:42,635.17,successful,25,US,635.17,635.17,600.0
4038,102072039,Sweet Seed Farm,Farms,Food,USD,3/27/2016,650.0,2/26/2016 20:55,1439.0,successful,22,US,1439.0,1439.0,650.0
4062,1020881883,Shabbos Safe Hotplate (So You Can Truly Rest on Shabbat),Food,Food,USD,10/23/2015,60500.0,9/8/2015 17:57,67141.0,successful,706,US,67141.0,67141.0,60500.0
4090,1020994659,"Botanica Restaurant, Market & Magazine",Restaurants,Food,USD,1/7/2017,60000.0,11/28/2016 18:09,62000.0,successful,166,US,2050.0,62000.0,60000.0
4118,1021169510,Allium Market and Café Final Funding!,Food,Food,USD,10/26/2017,30000.0,9/6/2017 1:39,30054.0,successful,222,US,355.0,30054.0,30000.0
4144,1021309408,APTEKA: Eastern European Kitchen + Bar,Restaurants,Food,USD,5/4/2015,40000.0,4/3/2015 15:16,50200.0,successful,430,US,50200.0,50200.0,40000.0
