,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
14,1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,5/3/2017,5000.0,4/5/2017 19:44,94175.0,successful,761,GB,57763.78,121857.33,6469.73
48,1000190427,Seas of Iron,Tabletop Games,Games,USD,7/19/2013,3000.0,6/19/2013 3:16,8105.0,successful,218,US,8105.0,8105.0,3000.0
59,1000232288,Empires at Sea,Tabletop Games,Games,USD,6/23/2015,25000.0,5/24/2015 12:47,37199.0,successful,448,US,37199.0,37199.0,25000.0
90,1000348690,The Silence of Hollowind - Urban Fantasy RPG,Tabletop Games,Games,EUR,11/23/2017,5000.0,10/24/2017 16:58,11238.0,successful,346,IT,5509.51,13347.43,5938.52
111,1000465399,DAYTRADER - A Financial Board Game,Tabletop Games,Games,USD,3/13/2013,19500.0,2/5/2013 16:16,20269.0,successful,491,US,20269.0,20269.0,19500.0
123,1000519001,Wordwright: re·de·fin·ing word play,Tabletop Games,Games,USD,12/29/2015,2000.0,11/21/2015 14:12,14794.0,successful,624,US,14794.0,14794.0,2000.0
126,1000524949,Operation: Make Stuff,Video Games,Games,USD,10/18/2012,200.0,9/18/2012 4:46,306.72,successful,36,US,306.72,306.72,200.0
199,1000811882,The Sword of Asumi Visual Novel,Video Games,Games,GBP,11/10/2014,2500.0,10/19/2014 20:35,3097.0,successful,107,GB,4983.78,4848.23,3913.65
217,1000932522,Geocaching Trading Cards - History Series II,Games,Games,USD,3/3/2013,1500.0,2/1/2013 20:14,1620.0,successful,52,US,1620.0,1620.0,1500.0
219,1000940032,Space Trucker,Video Games,Games,USD,12/8/2016,150.0,11/8/2016 8:20,165.0,successful,7,US,25.0,165.0,150.0
227,1000992739,Quick Query - Relaunch!,Playing Cards,Games,USD,8/18/2014,750.0,7/19/2014 19:02,1207.0,successful,56,US,1207.0,1207.0,750.0
305,1001348491,Glory of the Three Kingdoms - Guandu Core Set,Tabletop Games,Games,USD,12/7/2012,7000.0,10/23/2012 14:43,7782.0,successful,130,US,7782.0,7782.0,7000.0
318,1001442355,In the Loop: A Resource Strategy Game for Tomorrow's Leaders,Tabletop Games,Games,USD,8/7/2015,10000.0,7/8/2015 14:01,14414.0,successful,102,US,14414.0,14414.0,10000.0
319,1001442379,The Contractors - Create 3D Model: Prop Asset Model #1,Video Games,Games,USD,5/26/2017,2000.0,5/5/2017 12:47,2348.0,successful,17,US,340.0,2348.0,2000.0
375,100173367,"Deluxe RPG ""Handbrain"" Screen",Tabletop Games,Games,USD,6/2/2017,19400.0,5/15/2017 15:35,37522.0,successful,1053,US,111.0,37522.0,19400.0
387,1001814122,Savage Thunderscape!,Tabletop Games,Games,USD,6/20/2015,7500.0,5/17/2015 17:49,9125.0,successful,182,US,9125.0,9125.0,7500.0
475,1002272545,Course: Make a Stunning Fantasy RPG with GameMaker Studio,Video Games,Games,USD,8/13/2016,10200.0,7/14/2016 0:01,20709.5,successful,1258,US,11973.5,20709.5,10200.0
495,1002382304,Defenders of the Realm: Minions,Tabletop Games,Games,USD,8/27/2013,25000.0,8/7/2013 1:07,91972.5,successful,622,US,91972.5,91972.5,25000.0
512,1002456171,Random Table Wiki,Tabletop Games,Games,USD,4/9/2015,500.0,3/10/2015 15:30,501.0,successful,26,US,501.0,501.0,500.0
551,1002664274,Rocket Ranger Reloaded,Video Games,Games,USD,12/18/2014,89999.0,11/13/2014 1:01,90715.0,successful,942,US,90715.0,90715.0,89999.0
577,1002777672,Quern - Undying Thoughts,Video Games,Games,GBP,7/19/2015,20000.0,6/4/2015 1:04,25114.0,successful,1372,GB,38181.74,38862.93,30949.21
589,1002843911,DodecaheDRONE: An RPG of post-apocalyptic Robots & d12s,Tabletop Games,Games,USD,6/6/2012,2400.0,5/1/2012 7:00,2695.0,successful,83,US,2695.0,2695.0,2400.0
613,1002939824,SINS - The Roleplaying Game,Tabletop Games,Games,GBP,9/19/2017,5000.0,8/20/2017 13:40,29498.0,successful,706,GB,17885.46,40023.34,6784.08
619,1002965096,Bird's Eye View 1892 Map of Atlanta - 1000 Piece Puzzle,Puzzles,Games,USD,9/15/2016,1000.0,8/15/2016 2:33,3388.0,successful,126,US,1444.0,3388.0,1000.0
658,1003202814,TALUVA: DELUXE VERSION,Tabletop Games,Games,USD,1/2/2015,15000.0,12/3/2014 9:17,103114.5,successful,637,US,103114.5,103114.5,15000.0
709,1003480324,Galaxy of Trian: New Order,Tabletop Games,Games,USD,5/25/2017,38000.0,5/2/2017 17:05,165519.0,successful,1631,US,38716.0,165519.0,38000.0
731,1003525413,Mechabrick - A Minifig/Mecha board game and models,Tabletop Games,Games,GBP,11/13/2013,13000.0,10/14/2013 21:22,20459.0,successful,301,GB,32643.1,32873.26,20888.23
756,1003674692,Grace & Gentle Playing Cards By Lunzi,Playing Cards,Games,HKD,9/24/2017,32000.0,8/25/2017 3:29,74489.0,successful,216,HK,2859.81,9536.67,4096.89
757,1003677068,Kingdom: The Angelic War Card Game,Tabletop Games,Games,USD,2/21/2014,27000.0,1/7/2014 17:01,38186.0,successful,603,US,38186.0,38186.0,27000.0
771,1003769496,Galactic Princess,Video Games,Games,GBP,3/16/2014,20000.0,2/14/2014 21:00,34180.0,successful,2108,GB,56812.7,56359.86,32978.27
782,1003813966,Hollow,Video Games,Games,USD,11/14/2013,60.0,10/15/2013 22:08,198.0,successful,24,US,198.0,198.0,60.0
785,1003830843,Dionysius Games - Indy Games for everyone.,Tabletop Games,Games,USD,4/23/2012,450.0,3/23/2012 23:12,607.0,successful,25,US,607.0,607.0,450.0
825,1004015081,PALADIN: Warriors of Charlemagne,Tabletop Games,Games,USD,8/25/2017,10000.0,7/18/2017 18:58,82769.0,successful,1516,US,9228.0,82769.0,10000.0
849,1004152737,Chimera Station - Euro Edition,Tabletop Games,Games,EUR,4/28/2017,5000.0,3/31/2017 11:57,5040.0,successful,78,BE,2008.38,5508.74,5465.02
855,1004203496,Black Mint Playing Cards,Playing Cards,Games,USD,3/2/2016,10000.0,2/1/2016 17:42,125808.4,successful,2140,US,125808.4,125808.4,10000.0
