,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
102,1000415969,Disaster Area: A Podcast,Radio & Podcasts,Publishing,USD,12/28/2016,1000.0,11/28/2016 17:58,1055.0,successful,19,US,0.0,1055.0,1000.0
134,1000553538,URBNPOP / CHRIS HAMER SKETCHBOOK,Art Books,Publishing,USD,7/18/2012,1400.0,6/18/2012 16:58,2535.0,successful,49,US,2535.0,2535.0,1400.0
138,100056789,Four Short Stories and Ten Love Poems,Publishing,Publishing,USD,8/25/2017,3000.0,7/11/2017 17:43,3165.0,successful,33,US,225.0,3165.0,3000.0
158,1000648117,42 Sketches 2013,Art Books,Publishing,USD,4/7/2013,1000.0,3/18/2013 21:16,2883.5,successful,78,US,2883.5,2883.5,1000.0
173,1000710630,Our Shared Stories: An Afghan Diary,Anthologies,Publishing,USD,8/20/2016,7500.0,7/6/2016 16:22,9500.0,successful,86,US,880.0,9500.0,7500.0
185,1000770149,Worrisome Wilf's Beastly Bedtime,Children's Books,Publishing,GBP,6/12/2013,5500.0,5/13/2013 13:59,5721.0,successful,140,GB,8787.83,8937.95,8592.68
189,1000781363,The Spider and the Fly,Children's Books,Publishing,USD,7/9/2014,19650.0,6/9/2014 9:10,20313.0,successful,164,US,20313.0,20313.0,19650.0
229,1001000566,WrittenWitheArt,Publishing,Publishing,USD,3/5/2014,1500.0,2/4/2014 1:30,1500.0,successful,26,US,1500.0,1500.0,1500.0
260,1001149306,Night Terrors: Garden of Limbo,Fiction,Publishing,USD,1/5/2014,350.0,12/6/2013 20:23,1067.0,successful,14,US,1067.0,1067.0,350.0
290,1001295591,Ghost Herds: Rescuing horses and horse people in Kentucky,Nonfiction,Publishing,USD,2/25/2013,2200.0,1/26/2013 3:06,2510.0,successful,31,US,2510.0,2510.0,2200.0
452,1002139381,Tales from Sheepland: from the imagination of a child,Children's Books,Publishing,USD,9/9/2014,2000.0,7/31/2014 0:54,2522.0,successful,51,US,2522.0,2522.0,2000.0
476,100227845,Secret Behavior Magazine,Art Books,Publishing,USD,8/5/2014,16000.0,7/14/2014 22:22,17563.0,successful,136,US,17563.0,17563.0,16000.0
499,1002400187,The Guardians of Salus: Book #1 in the Halix series,Young Adult,Publishing,USD,7/23/2017,500.0,6/3/2017 22:46,525.0,successful,7,US,0.0,525.0,500.0
562,1002723323,Vivian the Dog Moves to Brooklyn,Children's Books,Publishing,USD,7/7/2016,10080.0,6/7/2016 13:30,20330.0,successful,545,US,19011.0,20330.0,10080.0
564,1002724533,This Mick's Life,Nonfiction,Publishing,USD,8/9/2014,4399.0,7/10/2014 7:15,5688.0,successful,62,US,5688.0,5688.0,4399.0
571,100275914,Can You Survive: TREASURE ISLAND (Choose Your Path),Children's Books,Publishing,USD,9/9/2013,500.0,8/19/2013 15:32,950.01,successful,18,US,950.01,950.01,500.0
644,1003122437,Following Racine: The East Africa Safari Rally,Fiction,Publishing,USD,10/31/2015,4444.0,10/6/2015 22:50,4574.0,successful,42,US,4574.0,4574.0,4444.0
661,1003228594,Gladys Sings,Children's Books,Publishing,USD,5/4/2015,4500.0,3/5/2015 3:48,4569.0,successful,31,US,4569.0,4569.0,4500.0
696,100343348,Bohemian Book Project,Children's Books,Publishing,USD,6/18/2011,3000.0,5/19/2011 17:24,3026.75,successful,41,US,3026.75,3026.75,3000.0
770,1003761602,Bring the Seattle Geekly podcast back!,Radio & Podcasts,Publishing,USD,9/13/2013,3000.0,8/14/2013 19:28,3368.0,successful,76,US,3368.0,3368.0,3000.0
876,1004317441,"The Magician's Cat, Print edition of the eBook!",Children's Books,Publishing,USD,5/7/2014,4500.0,4/17/2014 18:11,4653.0,successful,111,US,4653.0,4653.0,4500.0
920,100459984,"Cooking With Fire, The Disaster Cookbook",Nonfiction,Publishing,USD,3/7/2013,1500.0,1/28/2013 20:16,1692.0,successful,42,US,1692.0,1692.0,1500.0
959,100483818,The Art of Mitch Foust 2017 Yearbook,Art Books,Publishing,USD,6/2/2017,5000.0,5/1/2017 12:41,10177.0,successful,79,US,5957.0,10177.0,5000.0
