,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
154,1000629643,ODIN: Android 'Smart' Projector to Carry in Your Pocket,Hardware,Technology,USD,7/8/2014,250000.0,5/28/2014 13:54,268192.0,successful,561,US,268192.0,268192.0,250000.0
187,1000776914,"VLC for the new Windows 8 User Experience (""Metro"")",Software,Technology,GBP,12/29/2012,40000.0,11/29/2012 13:54,47056.86,successful,3080,GB,75365.14,75379.02,64074.84
194,100078996,APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,Apps,Technology,MXN,12/21/2016,55000.0,11/19/2016 4:05,56680.0,successful,24,MX,2.45,2739.22,2658.03
244,1001077166,Student Operated Fabrication Lab,Fabrication Tools,Technology,USD,7/11/2012,5000.0,6/11/2012 13:55,5000.0,successful,57,US,5000.0,5000.0,5000.0
261,100114978,Inclusive Toolkit: tools for iOS & OS X app accessibility,Software,Technology,GBP,6/13/2015,5500.0,5/13/2015 13:20,7157.0,successful,184,GB,11147.99,11335.49,8711.08
285,1001265769,XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,Sound,Technology,USD,10/21/2016,25000.0,9/6/2016 10:00,227673.0,successful,2278,US,16679.0,227673.0,25000.0
330,1001502333,Pimax: The World's First 8K VR Headset,Hardware,Technology,USD,11/3/2017,200000.0,9/19/2017 19:02,4236618.49,successful,5946,US,608194.0,4236618.49,200000.0
365,1001689284,STEER: A Wearable Device That Can Save Your Life,Wearables,Technology,EUR,7/31/2017,5000.0,7/20/2017 16:11,32374.0,successful,287,IE,3253.95,38421.55,5934.01
429,1002058532,LAZER EDGE Series eBike - Starting at $499!,Technology,Technology,USD,4/22/2016,10000.0,3/8/2016 23:50,17771.0,successful,27,US,17771.0,17771.0,10000.0
510,1002453633,Esquilo: Simple IoT Development - WiFi + Web IDE + Cloud,DIY Electronics,Technology,USD,6/10/2015,10000.0,5/11/2015 15:52,23447.0,successful,298,US,23447.0,23447.0,10000.0
516,1002492289,Fritz: A Robotic Puppet,Technology,Technology,USD,5/1/2013,25000.0,4/1/2013 5:25,41136.55,successful,236,US,41136.55,41136.55,25000.0
539,1002599863,Turn your messy Arduino projects into a clean design for 2$,DIY Electronics,Technology,CAD,2/8/2016,1000.0,12/10/2015 18:48,3035.0,successful,88,CA,2236.44,2179.85,718.24
555,1002692211,SparkLab: the educational build-mobile!,Hardware,Technology,USD,3/24/2012,25000.0,2/22/2012 2:22,31275.6,successful,426,US,31275.6,31275.6,25000.0
561,1002721954,Phochron XA Film Camera Shutter Speed Tester,Camera Equipment,Technology,USD,11/17/2016,8500.0,10/18/2016 22:40,16998.0,successful,135,US,9699.0,16998.0,8500.0
611,1002937987,Long Range MURS Band GPS Tracker & Smartphone Communicator,Technology,Technology,USD,3/21/2017,40000.0,2/14/2017 17:03,47554.5,successful,91,US,3745.0,47554.5,40000.0
642,1003111955,QUARTZ Bottle - Water Purification in a Self-Cleaning Bottle,Technology,Technology,USD,12/7/2017,30000.0,11/7/2017 13:57,1374021.0,successful,12758,US,56023.0,1374021.0,30000.0
655,1003182869,RinseKit: The Revolutionary Portable Shower,Gadgets,Technology,USD,6/3/2016,30000.0,5/4/2016 19:27,396299.0,successful,2412,US,396299.0,396299.0,30000.0
710,1003481542,Air.Air! ~ Portable Air Quality Detector,Technology,Technology,USD,10/20/2013,20000.0,9/3/2013 15:26,21613.47,successful,292,US,21613.47,21613.47,20000.0
711,1003481744,CONDUIT Sports - Dynamic Bone Conducting Headphones,Wearables,Technology,USD,5/15/2017,50000.0,4/10/2017 21:11,106213.0,successful,1052,US,2478.0,106213.0,50000.0
739,1003561611,Vyu360™ 4K ProCam,Camera Equipment,Technology,USD,11/15/2016,9000.0,10/13/2016 22:24,30126.0,successful,164,US,3035.0,30126.0,9000.0
808,1003946946,TeslaTronix- Tesla Power For The Masses,Hardware,Technology,USD,3/7/2013,2500.0,2/5/2013 1:27,38946.01,successful,463,US,38946.01,38946.01,2500.0
906,1004500333,Zombie USB Keychain (Zed 1.0),Technology,Technology,USD,7/26/2012,5000.0,6/26/2012 1:16,5060.0,successful,172,US,5060.0,5060.0,5000.0
928,100464296,FlowPaw : Learn computer coding by building your own gizmos,Technology,Technology,GBP,11/20/2014,19500.0,10/21/2014 23:33,20970.0,successful,145,GB,33780.46,32885.86,30580.56
935,1004686676,Ion: A Music Detecting Mood Light with Bluetooth Low Energy,Hardware,Technology,USD,5/1/2014,20000.0,4/1/2014 17:55,74026.0,successful,405,US,74026.0,74026.0,20000.0
1000,1005063605,LittleRP - Affordable Flexible Open 3D Resin Printer,3D Printing,Technology,USD,9/10/2014,25000.0,8/11/2014 17:03,118923.5,successful,290,US,118923.5,118923.5,25000.0
1084,1005423973,Bocusini - World's first plug & play 3D Food Printing System,3D Printing,Technology,EUR,6/11/2015,30000.0,5/12/2015 9:42,40581.0,successful,149,DE,45283.87,45531.66,33659.83
1154,1005848496,The 1st Motion Tracking DIY Smart Home Security Camera,Gadgets,Technology,USD,12/31/2016,25000.0,11/1/2016 2:54,81510.0,successful,565,US,7235.0,81510.0,25000.0
1254,100635918,World's first wirelessly charged earbuds,Hardware,Technology,EUR,5/26/2016,50000.0,4/26/2016 9:00,172228.0,successful,1068,DE,193622.51,192343.26,55839.72
1405,1007173468,The EZ CYCLING SYSTEM Refreshes Your Old Water Supply,Fabrication Tools,Technology,USD,10/19/2016,3000.0,9/19/2016 1:29,4205.0,successful,84,US,317.0,4205.0,3000.0
1411,1007202487,Jackster: Make Any Headset Wireless,Gadgets,Technology,USD,9/18/2017,5000.0,8/17/2017 16:22,18594.0,successful,368,US,3040.0,18594.0,5000.0
1450,100741369,Adventure Tape - The Ultimate Rescue Solution For Your Gear,Fabrication Tools,Technology,GBP,11/3/2017,15000.0,10/4/2017 13:01,45183.0,successful,1502,GB,1718.75,59230.76,19663.62
1478,1007566985,MAKEatx : a digital fabrication workshop,Hardware,Technology,USD,3/6/2011,5000.0,1/5/2011 6:42,5843.0,successful,58,US,5843.0,5843.0,5000.0
1566,1007993089,Remedy Resolutions,Apps,Technology,USD,7/25/2014,4500.0,7/18/2014 20:52,4566.0,successful,47,US,4566.0,4566.0,4500.0
1583,1008109037,The Electron: Cellular dev kit with a global data plan,DIY Electronics,Technology,USD,4/2/2015,30000.0,2/25/2015 20:15,578478.33,successful,5564,US,578478.33,578478.33,30000.0
1587,1008135768,STEMTera Breadboard - Arduino compatible built-in breadboard,DIY Electronics,Technology,USD,10/28/2016,35000.0,9/28/2016 12:31,67408.0,successful,1023,US,7572.0,67408.0,35000.0
1789,1009175601,Parametric Ceiling Object Tool for ARCHICAD,Apps,Technology,AUD,7/23/2016,10150.0,6/23/2016 0:59,11560.0,successful,31,AU,5497.13,8690.42,7630.43
1797,1009210646,"Insurance Snoopers, Inc. (iSi)",Software,Technology,USD,12/9/2014,4400.0,10/10/2014 23:50,4502.0,successful,32,US,4502.0,4502.0,4400.0
1842,1009463663,Seven Channel Graphic Equalizer Breakout Board for Arduino,DIY Electronics,Technology,USD,7/4/2014,1000.0,6/6/2014 2:57,2780.0,successful,120,US,2780.0,2780.0,1000.0
1874,1009668749,Rezzimax® TUNER,Technology,Technology,USD,8/23/2017,10000.0,7/24/2017 18:01,126838.0,successful,609,US,26681.0,126838.0,10000.0
1888,1009749695,MyCubeSat.com,Space Exploration,Technology,USD,8/18/2015,100.0,7/19/2015 3:48,135.0,successful,6,US,135.0,135.0,100.0
